-99.783275667,-87.6331360013,-87.659527587,-87.6316919441,-87.6564811072,-87.6395545116,-87.5475541765,-87.6368475394,-98.212351865,-97.8772273516,-98.1533332459,-98.1503593736,-98.8549033591,-99.6146427239,-100.602721253,-103.983090531,-106.033108034,-106.114812087,-106.250347654,-106.47148646,-110.443827712,-106.235788712,-106.229626318,-106.017996792,-105.970479669,-105.9543882
-100.158198021,-80.4013636408,-80.4054471427,-80.3981403476,-80.3984477946,-80.3954910938,-80.3887537952,-80.4096996244,-99.2806855861,-98.9355823548,-99.7641300966,-100.092720601,-100.179839558,-100.626444875,-101.855117656,-105.972681523,-108.197773173,-106.887178314,-106.910791237,-108.185705806,-109.504281995,-108.286390471,-108.778896078,-107.947576121,-109.661315879,-109.501381358
-99.351051936,-67.8669602377,-67.8668348712,-67.8667887632,-67.8663572495,-67.8663440085,-67.8645621006,-67.8668248722,-98.6188243273,-99.1380566252,-99.1597776593,-100.003783056,-99.9655669835,-103.075184656,-103.454550085,-106.281273455,-105.787875998,-105.444278733,-105.054617704,-105.201258058,-106.680192667,-106.849460331,-106.968208187,-107.041567671,-103.150424374,-103.338199792
-102.091299256,-75.1063656622,-75.1077139012,-75.1071072538,-75.1072354384,-75.0999254781,-75.0994323975,-75.1015717722,-98.8636329883,-98.3874585455,-98.7588923005,-98.7930710826,-101.286019756,-101.07657273,-101.636012347,-104.448601488,-106.440222145,-106.041560047,-105.848768156,-106.049916085,-108.368522086,-102.571124522,-102.80560117,-102.142576031,-101.994320067,-101.924928563
-101.122900634,-82.5480799734,-82.5513584313,-82.5402375398,-82.538395817,-82.5438703781,-82.4728057302,-82.4894147193,-97.2621779983,-97.1347089429,-97.5055344285,-97.6766901731,-97.6292671904,-101.087470327,-101.658920255,-104.665111111,-105.778202593,-105.500822255,-105.550702632,-105.935787512,-106.280276748,-102.064391288,-102.074255404,-101.794327128,-101.897265497,-101.783335549
-99.2472105178,-85.067114932,-85.0917327185,-85.059796561,-85.0599412984,-85.0386789155,-85.033160725,-85.110880714,-100.416167667,-99.8630363815,-101.441578346,-101.735369967,-104.265567745,-104.780763211,-104.579462697,-105.171486173,-108.062581342,-108.12658511,-107.387157564,-108.941389309,-110.182000376,-108.642782714,-108.757639218,-106.601450759,-105.420902999,-105.703709837
-98.7872103657,-87.2497206058,-87.2364478443,-87.2257330094,-87.1718989888,-87.1381143349,-87.1225722155,-87.2807708776,-98.6619319176,-98.8209581732,-98.975925471,-99.8739563478,-101.986981789,-102.100234653,-104.034980067,-106.670680317,-106.929884034,-106.266121733,-106.071164534,-107.472920318,-109.587241921,-102.42568843,-102.424950096,-101.941355682,-101.050332364,-101.229453795
-101.240736143,-89.1466612595,-89.1234963781,-89.086373262,-89.0909909177,-89.048213579,-88.5603239179,-88.4636209153,-95.4236021224,-95.3352440405,-95.5577967199,-95.6778833386,-96.2001846384,-99.8852281895,-101.752794548,-102.082905003,-103.827256418,-104.023266185,-103.888042829,-105.20272921,-108.195835773,-105.24107019,-104.934408577,-104.115750438,-103.261479799,-103.520102569
-98.9461915893,-89.3404833937,-89.4404499307,-89.3326378762,-89.3494198393,-89.4062510265,-89.2576930836,-89.2650943251,-97.8787071722,-97.2727976984,-97.9233781382,-97.9693985005,-98.1756436101,-99.0865223124,-101.464151952,-102.519018665,-105.464775034,-105.85984687,-105.783641594,-106.015514377,-106.126422222,-102.226279938,-102.079672344,-101.988689368,-101.271009146,-101.239798942
-101.343847217,-90.8495069172,-90.8664782662,-90.8794051818,-90.9058073563,-90.8845673476,-90.7666631196,-90.9504383725,-102.172190164,-102.031932579,-101.872361041,-102.173205406,-102.402645107,-102.348822094,-103.373711528,-103.697672355,-104.138342384,-104.085268401,-103.881611046,-104.284802418,-108.305815222,-102.601722094,-102.699743152,-102.542684434,-102.577363109,-102.75255076
